firstName,lastName,email,mobileNumber
Amogelang,Molefe,amogelang.molefe@fnb.co.bw,71234567
Kabelo,Modise,kabelo.modise@fnb.co.bw,72234567
Boitumelo,Phiri,boitumelo.phiri@fnb.co.bw,73234567
Lesedi,Moseki,lesedi.moseki@fnb.co.bw,74234567
Gaone,Pule,gaone.pule@fnb.co.bw,71345678
Thato,Moloi,thato.moloi@fnb.co.bw,72345678
Masego,Moalosi,masego.moalosi@fnb.co.bw,73345678
Lorato,Mosweu,lorato.mosweu@fnb.co.bw,74345678
Kutlwano,Mooketsi,kutlwano.mooketsi@fnb.co.bw,71456789
Naledi,Molefe,naledi.molefe@fnb.co.bw,72456789
Itumeleng,Modise,itumeleng.modise@fnb.co.bw,73456789
Pula,Phiri,pula.phiri@fnb.co.bw,74456789
Kago,Moseki,kago.moseki@fnb.co.bw,71567892
Onthatile,Pule,onthatile.pule@fnb.co.bw,72567892
Refilwe,Moloi,refilwe.moloi@fnb.co.bw,73567892
Tumisang,Moalosi,tumisang.moalosi@fnb.co.bw,74567892
Bakang,Mosweu,bakang.mosweu@fnb.co.bw,71678923
Kamogelo,Mooketsi,kamogelo.mooketsi@fnb.co.bw,72678923
Rorisang,Molefe,rorisang.molefe@fnb.co.bw,73678923
Katlego,Modise,katlego.modise@fnb.co.bw,74678923
Dineo,Phiri,dineo.phiri@fnb.co.bw,71789234
Lesego,Moseki,lesego.moseki@fnb.co.bw,72789234
Palesa,Pule,palesa.pule@fnb.co.bw,73789234
Tshiamo,Moloi,tshiamo.moloi@fnb.co.bw,74789234
Omphile,Moalosi,omphile.moalosi@fnb.co.bw,71892345
Ratanang,Mosweu,ratanang.mosweu@fnb.co.bw,72892345
Boago,Mooketsi,boago.mooketsi@fnb.co.bw,73892345
Botshelo,Molefe,botshelo.molefe@fnb.co.bw,74892345
Keitumetse,Modise,keitumetse.modise@fnb.co.bw,71923456
Larona,Phiri,larona.phiri@fnb.co.bw,72923456
Matshidiso,Moseki,matshidiso.moseki@fnb.co.bw,73923456
Segomotso,Pule,segomotso.pule@fnb.co.bw,74923456
Amantle,Moloi,amantle.moloi@fnb.co.bw,71235678
Semakaleng,Moalosi,semakaleng.moalosi@fnb.co.bw,72235678
Morapedi,Mosweu,morapedi.mosweu@fnb.co.bw,73235678
Phenyo,Mooketsi,phenyo.mooketsi@fnb.co.bw,74235678
Monnapula,Molefe,monnapula.molefe@fnb.co.bw,71346789
Mpho,Modise,mpho.modise@fnb.co.bw,72346789
Thato,Phiri,thato2.phiri@fnb.co.bw,73346789
Gaone,Moseki,gaone2.moseki@fnb.co.bw,74346789
Masego,Pule,masego2.pule@fnb.co.bw,71457892
Lorato,Moloi,lorato2.moloi@fnb.co.bw,72457892
Lesedi,Moalosi,lesedi2.moalosi@fnb.co.bw,73457892
Naledi,Mosweu,naledi2.mosweu@fnb.co.bw,74457892
Boitumelo,Mooketsi,boitumelo2.mooketsi@fnb.co.bw,71568923
Kabelo,Molefe,kabelo2.molefe@fnb.co.bw,72568923
Kago,Modise,kago2.modise@fnb.co.bw,73568923
Pula,Phiri,pula2.phiri@fnb.co.bw,74568923
Refilwe,Moseki,refilwe2.moseki@fnb.co.bw,71679234
Kamogelo,Pule,kamogelo2.pule@fnb.co.bw,72679234
Rorisang,Moloi,rorisang2.moloi@fnb.co.bw,73679234
Katlego,Moalosi,katlego2.moalosi@fnb.co.bw,74679234
Tumisang,Mosweu,tumisang2.mosweu@fnb.co.bw,71782345
Bakang,Mooketsi,bakang2.mooketsi@fnb.co.bw,72782345
Amogelang,Molefe,amogelang2.molefe@fnb.co.bw,73782345
Morapedi,Modise,morapedi2.modise@fnb.co.bw,74782345
